user_id,name,city,segment,dietary_preference,veg_days,rfm_recency,rfm_frequency,rfm_monetary,order_count,avg_order_value,favourite_cuisines
U01117,Oliver Bhattacharyya,Mumbai,Budget,non-veg,[],5,12,247,29,283,"[""South Indian""]"
U01118,Chanchal Mannan,Chennai,Family,non-veg,[4],2,16,1285,37,1052,"[""Continental""]"
U01119,Zinal Viswanathan,Mumbai,Premium,veg,[],2,17,1166,28,681,"[""Mughlai"", ""Desserts & Bakery""]"
U01120,Radha Desai,Mumbai,Occasional,non-veg,"[4, 6]",33,4,441,3,371,"[""North Indian"", ""Desserts & Bakery"", ""Biryani""]"
U01121,Vrishti Parmer,Hyderabad,Occasional,non-veg,[],33,4,369,1,455,"[""Mughlai""]"
U01122,Nitesh Raval,Bangalore,Budget,veg,[3],6,23,219,30,217,"[""North Indian"", ""Mughlai"", ""Biryani""]"
U01123,Vedant Kapur,Mumbai,Budget,veg,[],7,19,178,32,234,"[""Chinese"", ""Italian"", ""Mughlai""]"
U01124,Siddharth Bains,Mumbai,Budget,veg,[],6,11,330,37,244,"[""Chinese"", ""Mughlai"", ""Street Food""]"
U01125,Jatin Peri,Delhi,Family,veg,[],7,14,1271,38,682,"[""Biryani"", ""Continental""]"
U01126,Keya Kumer,Mumbai,Budget,non-veg,[],9,12,325,20,222,"[""Italian""]"
U01127,Chanakya Chokshi,Hyderabad,Occasional,non-veg,"[0, 6]",39,4,549,2,398,"[""Cafe""]"
U01128,Chanakya D’Alia,Bangalore,Budget,veg,"[0, 2, 4]",6,28,153,28,185,"[""North Indian"", ""Italian""]"
U01129,Sachi Rai,Bangalore,Family,none,[],6,9,1428,34,1063,"[""Italian"", ""Desserts & Bakery"", ""Cafe""]"
U01130,Zayyan Som,Mumbai,Premium,non-veg,[],2,10,652,27,553,"[""Chinese"", ""Cafe"", ""South Indian""]"
U01131,Samesh Andra,Chennai,Premium,veg,[],6,5,1074,18,865,"[""Cafe""]"
U01132,Osha Chaudhuri,Bangalore,Family,non-veg,"[0, 4, 5]",4,12,876,20,976,"[""Continental"", ""Biryani""]"
U01133,Laksh Sahota,Kolkata,Budget,veg,[6],2,22,275,36,193,"[""Continental""]"
U01134,Yasti Dalal,Delhi,Budget,non-veg,[],7,11,250,17,166,"[""Mughlai"", ""Chinese"", ""Continental""]"
U01135,Ishaan Cherian,Chennai,Health,veg,"[0, 2, 3]",8,7,673,20,486,"[""Continental"", ""North Indian"", ""Street Food""]"
U01136,Rushil Iyengar,Delhi,Health,veg,[],8,7,505,21,526,"[""Mughlai"", ""Italian"", ""North Indian""]"
U01137,Saksham Parmar,Hyderabad,Occasional,veg,"[2, 3, 5]",39,1,343,5,398,"[""Street Food"", ""South Indian"", ""Italian""]"
U01138,Chakrika Dyal,Hyderabad,Budget,none,[],5,15,341,32,174,"[""Biryani"", ""Chinese"", ""Mughlai""]"
U01139,Watika Johal,Hyderabad,Family,non-veg,"[0, 4, 6]",7,13,703,13,929,"[""South Indian"", ""Cafe"", ""Street Food""]"
U01140,Ganga Keer,Bangalore,Family,none,[1],8,15,1315,13,973,"[""Chinese"", ""Desserts & Bakery""]"
U01141,Agastya Chakraborty,Hyderabad,Budget,non-veg,[],3,23,268,18,274,"[""Continental""]"
U01142,Wakeeta Dixit,Bangalore,Occasional,non-veg,[4],25,2,320,7,222,"[""Continental"", ""South Indian""]"
U01143,Yasti Borde,Kolkata,Budget,non-veg,[],9,10,330,24,200,"[""Cafe"", ""Biryani"", ""North Indian""]"
U01144,Aahana Kashyap,Jaipur,Premium,none,[],5,18,944,20,862,"[""Cafe"", ""Street Food"", ""Biryani""]"
U01145,Chaman Lalla,Bangalore,Premium,non-veg,[4],3,9,542,24,505,"[""Cafe"", ""Street Food"", ""Italian""]"
U01146,Chandresh Chaudhry,Ahmedabad,Premium,none,[],5,17,1184,34,556,"[""North Indian""]"
U01147,Balveer Mannan,Chennai,Budget,veg,"[1, 5]",8,20,290,23,174,"[""Biryani""]"
U01148,Dhriti Sandhu,Bangalore,Budget,none,"[1, 3, 5]",9,26,344,21,291,"[""Cafe"", ""North Indian"", ""Chinese""]"
U01149,Girish Bath,Bangalore,Occasional,veg,"[2, 6]",11,3,570,3,239,"[""North Indian"", ""Cafe"", ""Desserts & Bakery""]"
U01150,Lakshit Garde,Chennai,Family,non-veg,[],2,16,548,22,554,"[""Continental""]"
U01151,Ishita Sarma,Mumbai,Occasional,non-veg,[2],14,2,206,3,269,"[""Chinese"", ""Italian"", ""Biryani""]"
U01152,Girik Pradhan,Ahmedabad,Budget,non-veg,[3],1,14,343,43,217,"[""North Indian"", ""Desserts & Bakery""]"
U01153,Qadim Comar,Kolkata,Budget,non-veg,"[0, 1, 6]",9,10,341,45,254,"[""Cafe"", ""Chinese""]"
U01154,Mugdha Shan,Jaipur,Family,non-veg,[],9,14,961,30,798,"[""Cafe"", ""Continental"", ""Chinese""]"
U01155,Lekha Sridhar,Mumbai,Premium,none,[3],5,16,552,17,960,"[""Mughlai"", ""North Indian"", ""Chinese""]"
U01156,Ojas Chowdhury,Hyderabad,Occasional,none,[],31,3,217,3,256,"[""Mughlai"", ""Italian"", ""Chinese""]"
U01157,Daniel Dutta,Bangalore,Family,non-veg,[2],5,15,1345,12,588,"[""North Indian""]"
U01158,Omaja Subramanian,Delhi,Premium,non-veg,"[2, 3, 6]",6,11,1014,14,796,"[""Street Food"", ""Continental""]"
U01159,Pratyush Raghavan,Hyderabad,Budget,veg,"[0, 6]",6,17,279,38,150,"[""South Indian""]"
U01160,Ayush De,Mumbai,Premium,non-veg,[2],3,10,816,24,994,"[""South Indian""]"
U01161,Vinaya Chowdhury,Lucknow,Occasional,non-veg,[],43,4,309,6,372,"[""South Indian"", ""Mughlai"", ""Chinese""]"
U01162,Ridhi Batra,Mumbai,Premium,none,[],1,13,521,25,727,"[""Cafe""]"
U01163,Advika Murthy,Bangalore,Health,veg,[2],6,5,341,22,320,"[""Biryani"", ""North Indian"", ""Continental""]"
U01164,Udarsh Nigam,Delhi,Family,veg,[1],9,15,1374,30,826,"[""Street Food"", ""Mughlai""]"
U01165,Rachita Kothari,Ahmedabad,Family,veg,[5],9,11,1123,26,954,"[""Biryani""]"
U01166,Hiral Rajan,Mumbai,Budget,none,"[3, 4, 5]",5,24,269,37,279,"[""Biryani""]"
U01167,Chatura Apte,Chennai,Budget,veg,[4],3,15,204,33,295,"[""Desserts & Bakery"", ""Street Food"", ""North Indian""]"
U01168,Yashasvi Singh,Hyderabad,Occasional,non-veg,"[0, 1, 3]",28,3,544,3,401,"[""Biryani"", ""North Indian"", ""Desserts & Bakery""]"
U01169,Noah Borde,Hyderabad,Budget,non-veg,[],3,26,318,33,291,"[""Biryani""]"
U01170,Ekani Khosla,Bangalore,Health,non-veg,[1],11,11,420,20,368,"[""South Indian"", ""Mughlai""]"
U01171,Arunima Bedi,Kolkata,Health,none,[2],6,12,603,11,524,"[""Chinese""]"
U01172,Kritika Rau,Pune,Occasional,none,[0],35,3,582,4,408,"[""Italian"", ""Chinese"", ""North Indian""]"
U01173,Farhan Sharaf,Delhi,Budget,none,[],1,12,339,49,198,"[""Chinese"", ""Cafe""]"
U01174,Sara Chakrabarti,Kolkata,Occasional,none,[],43,1,558,4,347,"[""Biryani"", ""Chinese""]"
U01175,Sanya Mutti,Chennai,Occasional,veg,[3],29,1,360,3,468,"[""Continental""]"
U01176,Widisha Badami,Pune,Budget,non-veg,[2],3,22,316,44,174,"[""Italian"", ""Biryani"", ""Street Food""]"
U01177,Netra Sachar,Hyderabad,Family,none,[],1,9,1432,33,1159,"[""Biryani"", ""North Indian""]"
U01178,Aadi Chand,Bangalore,Occasional,none,[],36,1,438,7,221,"[""Biryani"", ""Mughlai"", ""Desserts & Bakery""]"
U01179,Yashoda Jhaveri,Chennai,Occasional,non-veg,"[3, 4, 6]",39,4,235,6,214,"[""Mughlai""]"
U01180,Harita Patla,Hyderabad,Premium,non-veg,[],2,12,834,17,999,"[""North Indian"", ""Italian"", ""Biryani""]"
U01181,Udant Sha,Ahmedabad,Family,none,[],6,16,920,36,845,"[""Continental""]"
U01182,Urvashi Patla,Mumbai,Health,non-veg,[],11,6,632,19,329,"[""North Indian"", ""South Indian"", ""Mughlai""]"
U01183,Ishaan Chatterjee,Mumbai,Family,non-veg,[],1,16,1347,30,952,"[""Desserts & Bakery"", ""Italian""]"
U01184,Aarnav Om,Ahmedabad,Budget,veg,[6],6,21,244,37,231,"[""North Indian""]"
U01185,Bishakha Vig,Delhi,Budget,veg,[],1,11,339,40,261,"[""North Indian"", ""Italian""]"
U01186,Hitesh Bath,Kolkata,Family,veg,[6],9,9,1101,22,624,"[""Cafe"", ""Desserts & Bakery"", ""North Indian""]"
U01187,Waida Dey,Mumbai,Budget,veg,"[2, 3, 6]",2,19,238,31,232,"[""Italian"", ""North Indian"", ""Desserts & Bakery""]"
U01188,Hredhaan Kumar,Ahmedabad,Occasional,non-veg,[3],30,1,423,6,249,"[""Biryani"", ""North Indian""]"
U01189,Raghav Dara,Kolkata,Budget,veg,[],4,22,253,23,198,"[""Italian"", ""Cafe""]"
U01190,Tanveer Shankar,Mumbai,Family,non-veg,[6],2,15,1011,34,1196,"[""Chinese""]"
U01191,Hamsini Chokshi,Mumbai,Occasional,veg,[],20,4,477,1,468,"[""Continental""]"
U01192,Chakradhar Dasgupta,Chennai,Occasional,veg,[],13,2,433,3,441,"[""Street Food""]"
U01193,Tanvi Thaman,Bangalore,Budget,non-veg,[],4,15,179,36,205,"[""Cafe"", ""South Indian""]"
U01194,Wishi Agrawal,Bangalore,Occasional,veg,"[5, 6]",13,1,211,5,430,"[""North Indian"", ""Italian""]"
U01195,Rachita Subramanian,Kolkata,Occasional,veg,[],44,2,257,5,202,"[""Chinese"", ""Cafe"", ""North Indian""]"
U01196,Oscar Dave,Delhi,Premium,non-veg,[4],5,11,931,26,797,"[""South Indian""]"
U01197,Lila Nagy,Mumbai,Family,none,[],7,18,801,16,649,"[""Cafe"", ""Italian""]"
U01198,Omya Kothari,Mumbai,Budget,veg,"[1, 2, 5]",5,18,280,36,174,"[""Desserts & Bakery"", ""Biryani"", ""Mughlai""]"
U01199,Mitali Oza,Chennai,Health,veg,[4],6,11,694,8,396,"[""North Indian"", ""Mughlai""]"
U01200,Sneha Deol,Bangalore,Budget,veg,[],1,28,251,45,283,"[""North Indian""]"
U01201,Nitara Vala,Mumbai,Budget,non-veg,"[1, 3, 5]",1,12,244,20,230,"[""Chinese"", ""Cafe"", ""North Indian""]"
U01202,Dipta Kalla,Delhi,Occasional,non-veg,[],31,3,312,2,382,"[""Mughlai"", ""Desserts & Bakery"", ""Chinese""]"
U01203,Shaurya Mannan,Hyderabad,Budget,veg,[],7,27,215,43,291,"[""Chinese"", ""North Indian"", ""Biryani""]"
U01204,Kevin Gokhale,Hyderabad,Health,veg,[],13,6,332,24,407,"[""Italian"", ""Mughlai"", ""Biryani""]"
U01205,Jack Pandey,Delhi,Budget,non-veg,"[1, 2]",3,24,173,27,230,"[""Street Food"", ""Chinese"", ""Italian""]"
U01206,Omisha Walla,Ahmedabad,Occasional,non-veg,"[2, 3]",12,1,362,2,300,"[""South Indian""]"
U01207,Pahal Arya,Mumbai,Budget,veg,[],7,19,198,35,165,"[""Desserts & Bakery"", ""Cafe""]"
U01208,Aryan Raj,Pune,Occasional,none,[2],33,3,413,5,469,"[""Continental"", ""Italian""]"
U01209,Chatresh Bhalla,Jaipur,Occasional,non-veg,[5],37,2,531,5,480,"[""Italian"", ""Chinese""]"
U01210,Amara Dyal,Kolkata,Family,veg,"[5, 6]",3,11,524,34,1170,"[""Desserts & Bakery""]"
U01211,Zashil Dhingra,Kolkata,Family,non-veg,[],3,9,513,21,1162,"[""South Indian"", ""Street Food"", ""Cafe""]"
U01212,Chakrika Jani,Delhi,Budget,non-veg,[],1,27,305,21,299,"[""South Indian"", ""North Indian"", ""Italian""]"
U01213,Jagrati Sethi,Ahmedabad,Family,veg,[],8,19,932,23,1188,"[""Cafe"", ""North Indian""]"
U01214,Udarsh Ramachandran,Delhi,Family,veg,"[3, 4]",4,15,1210,23,583,"[""Street Food"", ""South Indian""]"
U01215,Yasti Mani,Kolkata,Budget,veg,"[1, 6]",3,12,157,32,165,"[""Street Food""]"
U01216,Lakshmi Ram,Mumbai,Premium,veg,[],2,8,957,13,697,"[""Desserts & Bakery"", ""South Indian"", ""Italian""]"
U01217,Dhriti Bhagat,Mumbai,Budget,none,[2],5,12,169,42,214,"[""Biryani"", ""South Indian""]"
U01218,Zayan Jain,Bangalore,Occasional,non-veg,[3],12,2,302,4,335,"[""Continental""]"
U01219,Umang Pillai,Delhi,Occasional,veg,"[2, 3]",21,1,404,4,212,"[""Chinese"", ""Biryani"", ""Cafe""]"
U01220,Rishi Menon,Mumbai,Health,vegan,[2],4,5,420,21,468,"[""Street Food"", ""South Indian"", ""Italian""]"
U01221,Peter Borde,Mumbai,Family,veg,[],7,15,1448,36,697,"[""North Indian"", ""Street Food"", ""Mughlai""]"
U01222,Oscar Varkey,Hyderabad,Budget,veg,"[0, 1, 4]",7,15,316,43,244,"[""Biryani""]"
U01223,Krishna Baria,Mumbai,Health,none,[],3,10,639,17,515,"[""Street Food"", ""Continental"", ""South Indian""]"
U01224,Arya Lalla,Chennai,Family,non-veg,[],3,9,1343,37,927,"[""Cafe"", ""Chinese""]"
U01225,Naveen Kumer,Mumbai,Occasional,non-veg,[],21,3,279,3,362,"[""Italian"", ""Cafe""]"
U01226,Ganga Shukla,Chennai,Family,none,"[4, 6]",1,15,926,32,1080,"[""Desserts & Bakery"", ""Italian""]"
U01227,Balveer Dube,Chennai,Occasional,non-veg,[],11,4,365,6,482,"[""North Indian""]"
U01228,Charan Mitra,Delhi,Family,veg,"[1, 5]",7,16,1468,15,961,"[""Chinese"", ""Cafe""]"
U01229,Ishita Bora,Kolkata,Premium,non-veg,"[4, 6]",3,9,918,25,885,"[""Cafe"", ""Italian""]"
U01230,Thomas Gour,Mumbai,Family,non-veg,[],7,14,735,15,758,"[""South Indian"", ""Italian""]"
U01231,Yashasvi Dutta,Ahmedabad,Budget,non-veg,"[0, 3, 5]",4,24,281,26,199,"[""Cafe"", ""Street Food"", ""South Indian""]"
U01232,Netra Chanda,Mumbai,Occasional,none,[5],27,3,375,6,353,"[""Desserts & Bakery""]"
U01233,Timothy Kala,Pune,Occasional,non-veg,[],40,4,294,7,203,"[""Chinese"", ""Italian"", ""North Indian""]"
U01234,Garima Patel,Kolkata,Premium,veg,[],3,18,703,25,592,"[""Biryani"", ""Cafe""]"
U01235,Tejas Wali,Mumbai,Budget,non-veg,"[1, 3]",5,12,252,18,195,"[""Street Food""]"
U01236,Aditya Contractor,Bangalore,Family,veg,[],1,14,1215,37,901,"[""Desserts & Bakery""]"
U01237,Sanaya Khosla,Bangalore,Health,vegan,"[0, 2, 6]",5,5,612,14,331,"[""Mughlai"", ""Biryani"", ""Chinese""]"
U01238,Balveer Nagi,Kolkata,Occasional,none,[6],29,2,344,1,477,"[""Italian""]"
U01239,Ishaan Raju,Ahmedabad,Occasional,veg,[6],21,3,437,5,290,"[""Street Food"", ""Mughlai"", ""North Indian""]"
U01240,Barkha Bakshi,Ahmedabad,Health,non-veg,"[3, 6]",10,12,696,8,438,"[""Continental"", ""Chinese"", ""North Indian""]"
U01241,Yoshita Trivedi,Bangalore,Budget,non-veg,[5],3,29,319,41,244,"[""Mughlai"", ""Continental""]"
U01242,Vidhi Bassi,Delhi,Budget,non-veg,[],9,21,341,48,240,"[""Biryani""]"
U01243,Reyansh Nagi,Pune,Budget,none,[],8,21,275,30,250,"[""South Indian""]"
U01244,Gopal Ganesh,Delhi,Budget,veg,[3],5,20,189,38,156,"[""Italian"", ""Desserts & Bakery""]"
U01245,Dominic Kade,Pune,Budget,non-veg,[],7,13,246,39,266,"[""North Indian"", ""Mughlai"", ""Continental""]"
U01246,Panini Chawla,Delhi,Budget,veg,"[1, 2, 5]",1,10,179,27,210,"[""Mughlai""]"
U01247,Radhika Bora,Chennai,Budget,none,[],6,15,246,48,266,"[""Continental"", ""Desserts & Bakery"", ""Chinese""]"
U01248,Arjun Sharaf,Delhi,Budget,non-veg,[1],7,11,280,16,298,"[""Chinese"", ""Continental"", ""North Indian""]"
U01249,Baljiwan Chahal,Kolkata,Health,none,[],13,13,345,8,423,"[""Chinese""]"
U01250,Chatura Gokhale,Mumbai,Occasional,veg,[],16,3,316,4,341,"[""Continental""]"
U01251,Ekavir Kari,Mumbai,Budget,non-veg,[2],6,29,199,34,174,"[""Mughlai"", ""Cafe"", ""South Indian""]"
U01252,Nikita Rama,Chennai,Health,veg,[5],4,14,357,15,413,"[""Mughlai""]"
U01253,Nidhi Sant,Chennai,Premium,veg,"[1, 5]",4,5,663,12,895,"[""Chinese""]"
U01254,Anay Ramachandran,Ahmedabad,Budget,none,[],9,20,167,27,296,"[""Street Food""]"
U01255,Abeer Bhatnagar,Delhi,Health,non-veg,[],2,14,637,15,561,"[""Continental"", ""Chinese""]"
U01256,Elijah Parmar,Mumbai,Occasional,non-veg,[],14,1,226,2,325,"[""Biryani"", ""North Indian""]"
U01257,Bimala Mitra,Pune,Premium,non-veg,[],2,5,582,11,512,"[""South Indian"", ""Chinese""]"
U01258,Baghyawati Sarma,Mumbai,Occasional,non-veg,"[0, 3, 6]",22,1,584,6,487,"[""Street Food"", ""Continental"", ""North Indian""]"
U01259,Megha Balasubramanian,Delhi,Budget,veg,[],1,11,317,43,291,"[""North Indian"", ""Italian""]"
U01260,Naksh Walla,Kolkata,Budget,veg,[],3,28,199,18,162,"[""South Indian"", ""Chinese"", ""Desserts & Bakery""]"
U01261,Laban Raman,Mumbai,Occasional,veg,"[3, 4, 6]",12,1,578,7,407,"[""Biryani"", ""Mughlai""]"
U01262,Maanas Misra,Bangalore,Budget,non-veg,[],2,27,336,35,199,"[""Biryani""]"
U01263,Advay Dhaliwal,Bangalore,Occasional,veg,[],26,4,300,3,259,"[""Cafe""]"
U01264,Benjamin Ahluwalia,Hyderabad,Budget,non-veg,[],2,27,151,48,177,"[""Italian"", ""Street Food""]"
U01265,Frederick Mody,Ahmedabad,Occasional,veg,"[3, 4]",24,1,560,3,236,"[""Cafe"", ""Desserts & Bakery""]"
U01266,Hemangini Kakar,Ahmedabad,Occasional,veg,[],31,2,344,5,344,"[""Street Food"", ""Italian"", ""South Indian""]"
U01267,Yauvani Dhar,Delhi,Occasional,non-veg,[],13,2,398,6,280,"[""Biryani"", ""Cafe""]"
U01268,Qarin Kant,Kolkata,Budget,non-veg,[],2,22,346,35,262,"[""Italian""]"
U01269,Rishi Contractor,Mumbai,Family,non-veg,"[4, 6]",6,12,1106,39,1143,"[""Chinese""]"
U01270,Chatura Shenoy,Mumbai,Budget,non-veg,[],6,22,304,28,153,"[""Desserts & Bakery"", ""Chinese"", ""Mughlai""]"
U01271,Bina Bhavsar,Kolkata,Budget,non-veg,[],4,12,259,25,240,"[""Continental""]"
U01272,Guneet Hora,Chennai,Family,none,[],1,16,1368,30,851,"[""South Indian""]"
U01273,Ganga Parikh,Hyderabad,Occasional,non-veg,[6],16,4,270,4,381,"[""Italian"", ""Continental"", ""Cafe""]"
U01274,Wahab Chaudhry,Bangalore,Premium,non-veg,[5],6,19,545,30,609,"[""South Indian"", ""Cafe"", ""North Indian""]"
U01275,Ekaraj Hari,Mumbai,Occasional,non-veg,[3],42,2,578,2,496,"[""Continental"", ""Mughlai"", ""Street Food""]"
U01276,Vedika Seshadri,Delhi,Family,veg,"[0, 2, 4]",5,15,810,17,555,"[""Chinese"", ""Cafe""]"
U01277,Damini Dua,Bangalore,Family,veg,[],3,19,1245,16,673,"[""South Indian"", ""Mughlai""]"
U01278,Diya Sangha,Ahmedabad,Premium,veg,[],6,5,742,13,949,"[""North Indian""]"
U01279,Aayush Munshi,Mumbai,Family,veg,"[4, 5, 6]",3,16,733,33,844,"[""Italian"", ""Mughlai"", ""Desserts & Bakery""]"
U01280,Timothy Sarin,Hyderabad,Health,none,[],6,12,554,13,505,"[""South Indian"", ""Desserts & Bakery""]"
U01281,Jagvi Desai,Delhi,Budget,non-veg,[],8,12,238,22,278,"[""Biryani"", ""Mughlai""]"
U01282,Varsha Shere,Lucknow,Premium,none,"[0, 5, 6]",5,18,730,20,924,"[""South Indian""]"
U01283,Jagrati Mody,Hyderabad,Premium,veg,[],6,6,1031,29,893,"[""Italian"", ""Desserts & Bakery"", ""Mughlai""]"
U01284,Ikbal Gill,Chennai,Occasional,non-veg,[],12,2,279,2,279,"[""Street Food""]"
U01285,Avni Dey,Ahmedabad,Budget,veg,[],9,17,219,28,199,"[""Biryani""]"
U01286,Adya Bose,Mumbai,Premium,none,[],5,11,975,27,684,"[""Chinese""]"
U01287,Anirudh Tripathi,Kolkata,Budget,none,[],5,26,212,20,296,"[""Chinese"", ""Continental""]"
U01288,Nidhi Kala,Pune,Occasional,veg,[6],10,2,374,6,392,"[""Biryani""]"
U01289,Abha Zacharia,Lucknow,Budget,none,[1],8,29,314,26,211,"[""South Indian""]"
U01290,Manthan Pau,Mumbai,Budget,veg,[],8,28,258,32,158,"[""Biryani"", ""Chinese""]"
U01291,Udant Mannan,Delhi,Budget,non-veg,[5],6,23,243,36,265,"[""North Indian""]"
U01292,Ucchal Thaker,Hyderabad,Family,veg,[5],1,10,1214,35,595,"[""Street Food""]"
U01293,Mekhala Patla,Bangalore,Premium,veg,[2],1,10,792,15,982,"[""South Indian"", ""Street Food""]"
U01294,William Gandhi,Mumbai,Premium,none,"[1, 5]",1,13,966,12,965,"[""Cafe"", ""South Indian"", ""Mughlai""]"
U01295,Sanaya Dutta,Mumbai,Premium,veg,[],5,6,957,10,750,"[""Desserts & Bakery"", ""Cafe""]"
U01296,Madhav Sule,Mumbai,Budget,non-veg,[4],7,15,228,38,214,"[""Biryani""]"
U01297,Banjeet Kanda,Lucknow,Budget,non-veg,[],9,20,227,34,170,"[""South Indian""]"
U01298,Vincent Bhatnagar,Mumbai,Budget,non-veg,[],6,12,237,19,261,"[""Street Food"", ""North Indian"", ""Biryani""]"
U01299,Kala Kaur,Mumbai,Occasional,non-veg,"[0, 4]",14,3,368,2,299,"[""North Indian"", ""Chinese"", ""South Indian""]"
U01300,Samuel Vasa,Mumbai,Premium,none,[5],1,9,626,28,833,"[""South Indian""]"
U01301,Lipika Singh,Bangalore,Premium,non-veg,[],6,12,549,31,651,"[""Continental"", ""Street Food"", ""South Indian""]"
U01302,Chakradhar Baral,Bangalore,Health,non-veg,[],10,10,368,10,400,"[""Continental"", ""Cafe""]"
U01303,Harshil Verma,Hyderabad,Family,veg,"[3, 5, 6]",5,11,1340,36,969,"[""Street Food"", ""Chinese"", ""Desserts & Bakery""]"
U01304,Adya Ghosh,Pune,Budget,non-veg,[],7,20,269,18,222,"[""Street Food"", ""Mughlai""]"
U01305,Kritika Pau,Kolkata,Family,non-veg,"[2, 3, 6]",6,11,776,33,626,"[""Mughlai"", ""Street Food"", ""North Indian""]"
U01306,Zansi Krishnamurthy,Mumbai,Premium,non-veg,"[0, 6]",3,11,533,31,531,"[""Mughlai"", ""Biryani"", ""Street Food""]"
U01307,Udant Varty,Kolkata,Premium,veg,[0],6,17,794,15,622,"[""Desserts & Bakery""]"
U01308,Ira Pai,Lucknow,Budget,veg,[],5,21,335,49,294,"[""Desserts & Bakery"", ""Chinese""]"
U01309,Vasatika Ahuja,Pune,Budget,veg,[],7,14,295,25,172,"[""Biryani"", ""Continental""]"
U01310,Ria Gandhi,Pune,Occasional,veg,[2],38,2,403,1,204,"[""Street Food""]"
U01311,Faraj Varkey,Delhi,Family,none,"[1, 4]",1,18,775,37,1046,"[""Street Food"", ""Cafe"", ""Chinese""]"
U01312,Siddharth Doctor,Jaipur,Occasional,non-veg,[],35,1,480,4,431,"[""North Indian""]"
U01313,Nakul Pathak,Bangalore,Family,veg,[],4,19,1017,39,532,"[""Cafe""]"
U01314,Victor Sachdeva,Delhi,Budget,veg,[5],9,10,320,38,286,"[""Italian""]"
U01315,Ishaan Subramaniam,Chennai,Family,none,"[4, 5, 6]",9,11,845,30,716,"[""Desserts & Bakery""]"
U01316,Varenya Kade,Hyderabad,Budget,veg,[],1,23,234,17,216,"[""South Indian"", ""Cafe"", ""Continental""]"
U01317,Nirja Bains,Delhi,Budget,none,"[1, 4, 5]",2,23,214,42,235,"[""Mughlai"", ""Continental"", ""Street Food""]"
U01318,Caleb Datta,Delhi,Occasional,non-veg,[],31,4,546,4,387,"[""Chinese"", ""Continental"", ""Italian""]"
U01319,Krish Vala,Delhi,Budget,non-veg,[],5,16,221,16,195,"[""Street Food"", ""Desserts & Bakery"", ""Continental""]"
U01320,Manan Bhalla,Delhi,Occasional,non-veg,[],30,4,239,1,466,"[""Street Food""]"
U01321,Aarna Gole,Lucknow,Budget,veg,[3],5,24,252,45,186,"[""South Indian""]"
U01322,Anirudh Mander,Bangalore,Health,none,"[2, 3]",12,5,493,17,539,"[""Continental"", ""South Indian""]"
U01323,Tarak Sen,Bangalore,Budget,veg,[],5,27,323,49,270,"[""North Indian""]"
U01324,Vasatika Garde,Delhi,Budget,non-veg,[],5,26,172,21,258,"[""North Indian"", ""Mughlai""]"
U01325,Nirja Dhar,Mumbai,Budget,none,"[3, 5]",2,27,210,26,264,"[""Mughlai""]"
U01326,Yasti Lalla,Hyderabad,Occasional,veg,"[4, 5]",44,3,318,4,465,"[""Italian"", ""North Indian"", ""Mughlai""]"
U01327,Hema Setty,Delhi,Health,veg,"[1, 4]",6,10,633,8,485,"[""Street Food"", ""Italian""]"
U01328,Victor Radhakrishnan,Mumbai,Premium,none,[2],6,9,959,31,944,"[""Chinese"", ""Cafe"", ""Mughlai""]"
U01329,Kevin Chopra,Pune,Premium,non-veg,[],6,6,802,28,735,"[""Continental"", ""Chinese""]"
U01330,Samaksh Virk,Mumbai,Premium,non-veg,"[0, 3, 6]",6,9,788,28,807,"[""Desserts & Bakery"", ""Mughlai""]"
U01331,Mason Char,Bangalore,Budget,non-veg,[2],8,18,279,24,154,"[""North Indian"", ""Biryani"", ""Cafe""]"
U01332,Vamakshi Barad,Ahmedabad,Budget,none,[],9,20,256,42,192,"[""Desserts & Bakery""]"
U01333,Girik Subramaniam,Delhi,Budget,veg,[3],8,13,180,34,181,"[""Italian"", ""South Indian""]"
U01334,Aarav Sankar,Mumbai,Budget,none,[],9,14,218,44,244,"[""Biryani"", ""Italian"", ""Continental""]"
U01335,Kamala Bassi,Delhi,Premium,veg,"[0, 1, 6]",3,7,904,31,590,"[""North Indian"", ""Chinese""]"
U01336,Veer Subramaniam,Chennai,Health,veg,[],12,9,355,20,352,"[""Biryani""]"
U01337,Inaya Chaudhari,Pune,Occasional,veg,"[2, 6]",31,3,433,3,335,"[""Mughlai"", ""Cafe""]"
U01338,Krish Kumar,Kolkata,Budget,none,"[1, 2, 3]",7,22,313,49,256,"[""Mughlai"", ""Biryani""]"
U01339,Viraj Chacko,Jaipur,Premium,none,"[3, 4]",4,6,770,26,604,"[""South Indian"", ""Biryani""]"
U01340,Nilima Kurian,Chennai,Occasional,veg,[],11,4,410,1,369,"[""Chinese"", ""Street Food""]"
U01341,Abdul Amble,Hyderabad,Budget,non-veg,[],2,24,298,44,235,"[""Street Food""]"
U01342,Zinal Amble,Chennai,Budget,non-veg,[2],2,21,344,40,218,"[""Italian""]"
U01343,Samesh Mutti,Mumbai,Occasional,veg,[3],17,4,546,7,493,"[""Mughlai"", ""South Indian"", ""Biryani""]"
U01344,Janaki Chhabra,Jaipur,Health,none,[],4,11,376,13,303,"[""Desserts & Bakery"", ""South Indian""]"
U01345,Pooja Kulkarni,Pune,Family,non-veg,[],5,14,667,23,847,"[""South Indian""]"
